observat,dist_cod,county,district,gr_span,enrl_tot,teachers,calw_pct,meal_pct,computer,testscr,comp_stu,expn_stu,str,avginc,el_pct,read_scr,math_scr
17,63594,Kern,Lost Hills Union Elementary,KK-08,491,28.92,11.2016,97.759697,100,618.05005,.20366599,6723.2378,16.977869,6.2160001,85.539719,611.70001,624.40002
18,63370,Kern,Buttonwillow Union Elementary,KK-08,421,25.5,8.5510998,77.909698,50,618.30005,.11876485,5589.8853,16.509804,7.7639999,58.907364,614.90002,621.70001
19,64709,Los Angeles,Lennox Elementary,KK-08,6880,303.03,21.2824,94.971199,960,619.79999,.13953489,5064.6157,22.704023,7.0219998,77.005814,619.09998,620.5
20,63560,Kern,Lamont Elementary,KK-08,2688,135,23.4375,93.229202,139,620.29999,.05171131,5433.5933,19.911112,5.6989999,49.813988,621.29999,619.29999
21,63230,Imperial,Westmorland Union Elementary,KK-08,440,24,34.772701,100,69,620.5,.15681818,5725.5635,18.333334,7.941,40.68182,615.59998,625.40002
22,72058,Tulare,Pleasant View Elementary,KK-08,475,21,21.6495,91.546402,53,621.40002,.11157895,4542.105,22.619047,9.6300001,16.210526,619.90002,622.90002
23,63842,Kern,Wasco Union Elementary,KK-08,2538,130.5,18.9111,70.816704,169,621.75,.066587865,5107.0864,19.448277,7.4050002,45.074863,622.90002,620.59998
24,71811,Tulare,Alta Vista Elementary,KK-08,476,19,43.8559,100,0,622.05005,0,4659.6616,25.052631,9.6300001,39.07563,620.70001,623.40002
25,65748,Merced,Livingston Union Elementary,KK-08,2357,114,16.801001,90.623703,216,622.59998,.091641918,4555.4644,20.675438,8.0190001,76.665253,619.5,625.70001
26,72272,Tulare,Woodlake Union Elementary,KK-08,1588,85,22.4072,85.147202,198,623.09998,.12468514,5415.1528,18.682352,8.5229998,40.491184,625,621.20001
27,65961,Monterey,Alisal Union Elementary,KK-06,7306,319.79999,17.001499,88.034897,742,623.20001,.10156036,4997.8716,22.84553,7.9831815,73.72023,620.40002,626
28,63313,Kern,Arvin Union Elementary,KK-08,2601,135,15.0711,92.195297,269,623.45001,.10342176,5223.9121,19.266666,7.3049998,70.011536,616.5,630.40002
29,72199,Tulare,Terra Bella Union Elementary,KK-08,847,44,16.292801,90.200699,67,623.59998,.079102717,5139.1646,19.25,8.934,55.962215,620.09998,627.09998
30,72215,Tulare,Tipton Elementary,KK-08,452,22,14.4989,81.023499,55,624.15002,.12168141,4614.252,20.545454,8.5539999,11.061947,627.90002,620.40002
31,68379,San Diego,San Ysidro Elementary,KK-08,4142,201,35.5625,81.5065,569,624.55005,.13737325,5342.2334,20.606966,6.6129999,80.42009,620.40002,628.70001
32,75440,Monterey,Soledad Unified,KK-08,2102,99.75,15.3199,90.284897,224,624.95001,.10656518,5347.4585,21.072681,12.409,63.130356,623,626.90002
33,64816,Los Angeles,Mountain View Elementary,KK-08,10012,464.89999,29.763901,91.593399,721,625.29999,.072013587,5036.459,21.535814,8.1266155,65.121857,620.79999,629.79999
34,66050,Monterey,King City Union Elementary,KK-08,2488,125,12.692,55.092999,202,625.84998,.081189707,5117.1416,19.903999,11.431,53.416401,626.09998,625.59998
35,67819,San Bernardino,Ontario-Montclair Elementary,KK-08,25151,1186.7,17.4426,80.195602,1713,626.09998,.068108626,5117.0396,21.194069,11.722225,49.823071,625.40002,626.79999
36,64758,Los Angeles,Los Nietos Elementary,KK-08,2267,103.68,19.151699,84.4338,177,626.80005,.07807675,5272.1919,21.865355,11.3325,35.46537,625.40002,628.20001
37,65870,Merced,Winton Elementary,KK-08,1657,90.400002,28.8473,84.7314,204,626.90002,.12311406,5225.7192,18.329645,9.5979996,56.125526,623.59998,630.20001
38,62380,Fresno,Raisin City Elementary,KK-08,284,17.5,14.527,94.932404,18,627.09998,.063380279,6516.5332,16.228571,14.558,32.394367,628.90002,625.29999
39,68999,San Mateo,Ravenswood City Elementary,KK-08,5370,280,19.571699,81.117302,562,627.25,.1046555,4559.1768,19.178572,22.059999,65.5121,624.40002,630.09998
40,63578,Kern,Richland-Lerdo Union Elementary,KK-08,2471,121.86,23.796,87.778198,275,627.29999,.11129098,5119.1582,20.277367,9.7089996,53.055443,627.5,627.09998
41,72538,Ventura,Oxnard Elementary,KK-08,15386,669.35999,12.5064,71.433098,1762,628.25,.11451969,5338.1855,22.986137,11.482944,49.642532,627.79999,628.70001
42,65680,Merced,El Nido Elementary,KK-08,184,9,22.2826,85.869598,40,628.40002,.2173913,5090.0449,20.444445,8.1780005,45.108696,621.59998,635.20001
43,63461,Kern,Fairfax Elementary,KK-08,1217,61.400002,33.908001,88.0952,78,628.55005,.064092033,5485.4961,19.820847,8.1739998,30.320459,629.40002,627.70001
44,63404,Kern,Delano Union Elementary,KK-08,6219,268,21.4986,100,571,628.65002,.091815405,4793.3701,23.205223,7.5,52.243126,621.09998,636.20001
45,67199,Riverside,Perris Elementary,KK-06,4258,221,24.6595,92.743103,324,628.75,.076092064,5092.9175,19.266968,10.0505,36.801315,626.5,631
46,65078,Los Angeles,Valle Lindo Elementary,KK-08,1235,53,8.2182999,62.130199,175,629.80005,.1417004,4359.521,23.301888,7.3319998,30.2834,630.20001,629.40002
47,69369,Santa Clara,Alum Rock Union Elementary,KK-08,16244,766.65002,17.4531,69.739899,1423,630.34998,.087601572,5645.4956,21.188286,12.581577,49.864567,629.5,631.20001
48,63438,Kern,Edison Elementary,KK-08,814,39,19.7789,67.444702,85,630.40002,.10442261,4518.0161,20.871796,15.177,13.759213,631.90002,628.90002
49,63321,Kern,Bakersfield City Elementary,KK-08,27176,1429,39.218399,84.294998,3324,630.54999,.1223138,5864.3662,19.017494,12.109128,28.863705,631.59998,629.5
50,69450,Santa Clara,Franklin-McKinley Elementary,KK-08,10696,487.97,22.157801,70.895699,1306,630.54999,.12210172,5257.9966,21.91938,11.785,52.804787,628.5,632.59998
51,64592,Los Angeles,Hawthorne Elementary,KK-08,8935,444.5,36.945099,79.512001,786,631.05005,.087968662,5016.6924,20.101238,14.062,44.08506,628.40002,633.70001
52,65193,Madera,Chowchilla Elementary,KK-08,1600,74.5,27.2614,79.725502,242,631.40002,.15125,4720.0864,21.476511,10.472,35.25,635.70001,627.09998
53,66142,Monterey,Salinas City Elementary,KK-06,9028,449.92001,13.9885,69.942497,669,631.84998,.074102789,5470.5625,20.065788,13.405117,37.494461,633,630.70001
54,69120,Santa Barbara,Santa Maria-Bonita Elementary,KK-08,10625,521.46997,7.4974999,77.525597,896,631.90002,.084329411,5615.4419,20.375095,12.3018,50.390591,629.59998,634.20001
55,65110,Los Angeles,Whittier City Elementary,KK-08,7151,318.57999,18.5481,61.738201,560,631.95001,.078310728,5245.4399,22.446482,15.404071,31.072578,634.20001,629.70001
56,64477,Los Angeles,Eastside Union Elementary,KK-08,2404,105,20.927401,52.943501,202,632,.08402662,4838.1753,22.895239,13.762,18.261232,633.5,630.5
57,64691,Los Angeles,Lawndale Elementary,KK-08,5804,283.14999,28.342501,81.116501,480,632.20001,.082701586,5367.9883,20.497971,14.184,34.700207,631.40002,633
58,67421,Sacramento,Robla Elementary,KK-06,2253,112.65,43.497601,84.553902,196,632.25,.086995117,5526.2368,20,8.8649998,33.288948,637.5,627
59,66191,Monterey,Santa Rita Union Elementary,KK-08,2807,126.12,15.4595,52.3964,152,632.44995,.054150339,4353.0195,22.25658,12.997,33.487709,637.29999,627.59998
60,72561,Ventura,Rio Elementary,KK-08,3074,142.55,11.2898,66.194901,249,632.84998,.081001952,5034.29,21.564363,11.592,38.158752,633.20001,632.5
61,72157,Tulare,Strathmore Union Elementary,KK-08,723,37.119999,25.921101,83.157898,45,632.95001,.062240664,4692.4937,19.477371,8.2790003,36.929462,629.20001,636.70001
62,67397,Sacramento,North Sacramento Elementary,KK-06,5138,290.77499,58.752201,84.999001,560,633.04999,.10899182,5606.7817,17.670021,10.905643,32.989491,630.29999,635.79999
63,66423,Orange,Anaheim Elementary,KK-06,20927,953.5,10.9114,82.392601,1048,633.15002,.050078847,4969.1807,21.947561,13.400625,58.216656,629.59998,636.70001
64,63974,Kings,Lemoore Union Elementary,KK-08,3017,138.5,14.9768,56.063599,496,633.65002,.16440172,4675.6748,21.783394,11.081,17.003647,634.40002,632.90002
65,63875,Kings,Armona Union Elementary,KK-08,957,50,27.1682,82.131699,149,633.90002,.15569489,5306.1328,19.139999,9.0819998,17.659353,634.70001,633.09998
66,63339,Kern,Beardsley Elementary,KK-08,1639,90.5,46.888199,80.604202,287,634,.17510678,5693.8833,18.110497,13.39,7.3215375,638.40002,629.59998
67,65037,Los Angeles,South Whittier Elementary,KK-08,4340,209.84,17.7026,93.922699,284,634.05005,.065437786,5181.5796,20.682425,14.601625,31.198156,631.90002,636.20001
68,63917,Kings,Hanford Elementary,KK-08,5079,224.5,25.559299,63.8036,585,634.09998,.11518016,5228.6509,22.623608,11.116,16.617445,637.70001,630.5
69,68221,San Diego,National Elementary,KK-06,6639,304.73001,26.8414,100,505,634.09998,.076065674,5339.3911,21.786499,8.4230003,58.081036,631.5,636.70001
70,70904,Sonoma,Roseland Elementary,KK-06,1154,62.099998,22.9277,84.920601,129,634.15002,.1117851,6056.4971,18.582932,11.665,55.892544,636.79999,631.5
71,63420,Kern,Di Giorgio Elementary,KK-08,237,11,19.8312,76.793198,13,634.19995,.054852322,4845.6802,21.545454,7.3049998,5.4852324,631.79999,636.59998
72,64642,Los Angeles,Keppel Union Elementary,KK-08,2987,141.21001,21.258801,68.3964,273,634.40002,.091396049,4826.666,21.152891,13.730599,14.429193,637.70001,631.09998
73,63966,Kings,Lakeside Union Elementary,KK-08,499,30,40.367001,83.119301,94,634.54999,.18837675,5367.0903,16.633333,11.116,22.845692,635.5,633.59998
74,65771,Merced,Merced City Elementary,KK-08,11474,542.65002,40.552601,77.008904,1248,634.70001,.10876765,5742.7329,21.144382,10.364429,38.783337,633.20001,636.20001
75,69203,Santa Barbara,Guadalupe Union Elementary,KK-08,1088,55,14.1544,86.029404,107,634.90002,.098345585,4136.251,19.781818,6.9829998,64.246323,631.09998,638.70001
76,67694,San Bernardino,Cucamonga Elementary,KK-08,2660,140.12,15.7601,74.850998,259,634.94995,.097368419,5267.8311,18.983728,14.4678,25.225565,637.79999,632.09998
77,61705,Contra Costa,Knightsen Elementary,KK-08,353,19.98,8.6721001,33.062302,8,635.04999,.022662889,5238.3921,17.667667,14.653,5.3824363,636.59998,633.5
78,63008,Humboldt,Rio Dell Elementary,KK-08,329,18.530001,28.915701,85.542198,37,635.19995,.11246201,5462.8994,17.754992,10.629,6.0790277,644.29999,626.09998
79,70417,Siskiyou,Montague Elementary,KK-08,252,16.5,23.4568,66.255096,32,635.45001,.12698413,6313.3735,15.272727,9.7810001,0,640.90002,630
80,70409,Siskiyou,McCloud Union Elementary,KK-08,175,12.5,21.7647,68.823502,31,635.59998,.17714286,6653.0308,14,10.656,0,634.59998,636.59998
81,72587,Ventura,Santa Paula Elementary,KK-08,3835,186.2,13.9911,72.862801,897,635.59998,.23389831,5533.1494,20.596134,11.938,34.889179,633,638.20001
82,62539,Fresno,West Park Elementary,KK-08,314,19.25,29.9363,93.6306,8,635.75,.025477707,6118.7104,16.311687,7.3850002,13.057324,636.70001,634.79999
83,65631,Merced,Atwater Elementary,KK-08,4458,211,22.2222,72.320801,445,635.95001,.099820547,5098.627,21.127962,10.676,36.025124,633.20001,638.70001
84,65862,Merced,Weaver Union Elementary,KK-08,1313,75.080002,32.0868,73.597603,112,636.09998,.08530084,5652.8789,17.488012,9.9720001,34.653465,633.90002,638.29999
85,62356,Fresno,Pacific Union Elementary,KK-08,474,26.5,21.518999,75.738403,36,636.5,.075949363,5329.0024,17.886793,8.2580004,28.691982,634.70001,638.29999
86,75051,San Bernardino,Lucerne Valley Unified,KK-08,1114,57.700001,29.4468,62.212799,277,636.59998,.2486535,5929.8091,19.306759,8.8959999,1.7953322,645.40002,627.79999
87,67231,Riverside,Romoland Elementary,KK-06,1358,65,14.7903,80.868301,178,636.69995,.13107511,4897.0679,20.892307,12.062,30.633286,632.29999,641.09998
88,64501,Los Angeles,El Monte City Elementary,KK-08,11629,546.29999,25.3794,83.873703,1015,636.90002,.087281793,5100.2021,21.286839,9.428895,59.033455,632.40002,641.40002
89,63503,Kern,Greenfield Union Elementary,KK-08,6195,306.75,21.043301,68.571899,1261,636.95001,.20355125,4825.7227,20.195599,8.9203329,13.559322,636.20001,637.70001
90,72033,Tulare,Palo Verde Union Elementary,KK-08,499,20,23.6994,80.924896,35,637,.07014028,4079.1292,24.950001,10.098,5.0100198,636.09998,637.90002
91,67322,Sacramento,Elverta Joint Elementary,KK-08,417,23,19.9041,46.043201,27,637.09998,.064748198,5349.3677,18.130434,11.83,.95923263,638,636.20001
92,64048,Lake,Lucerne Elementary,KK-08,300,15,48.344398,72.185402,55,637.34998,.18333334,5869.3892,20,11.553,.66666669,640.90002,633.79999
93,69542,Santa Clara,Luther Burbank Elementary,KK-08,457,24.4,16.816099,67.712997,50,637.65002,.10940919,6462.1279,18.729509,19.707001,38.512035,644.90002,630.40002
94,61382,Butte,Bangor Union Elementary,KK-08,146,8,25.342501,54.1096,34,637.94995,.23287672,6231.6016,18.25,7.105,0,646.09998,629.79999
95,68858,San Mateo,Bayshore Elementary,KK-08,460,24.219999,10.5932,66.949203,71,637.95001,.15434782,4993.8677,18.992569,13.725,17.173914,633.20001,642.70001
96,72017,Tulare,Oak Valley Union Elementary,KK-08,354,17.799999,10.2778,59.722198,28,638,.079096042,4663.811,19.887642,10.098,9.8870058,636.70001,639.29999
97,65151,Los Angeles,Wilsona Elementary,KK-08,1841,95,25.257999,64.747398,315,638.20001,.17110266,6107.1064,19.378948,13.762,19.391636,640.40002,636
98,63073,Imperial,Brawley Elementary,KK-08,3760,183.75,26.9016,65.796097,717,638.30005,.19069149,5324.228,20.462585,9.665,36.489361,636.20001,640.40002
99,63198,Imperial,Meadows Union Elementary,KK-08,500,22.43,18.799999,83,70,638.30005,.14,5221.4609,22.291573,10.264,39.399998,630.40002,646.20001
100,64717,Los Angeles,Little Lake City Elementary,KK-08,5112,246.89999,10.6912,59.723499,383,638.34998,.07492175,5157.7847,20.704739,11.569201,28.677622,638.59998,638.09998
101,63719,Kern,Pond Union Elementary,KK-08,146,7.6599998,13.6986,66.4384,28,638.54999,.19178082,5131.1191,19.060053,7.4050002,13.69863,637.5,639.59998
102,63800,Kern,Taft City Elementary,KK-08,2141,105.82,26.4965,65.382797,134,638.70001,.062587574,5279.354,20.23247,12.077,11.349836,636.90002,640.5
103,71357,Sutter,Brittan Elementary,KK-08,610,30.98,8.5246,56.065601,144,639.25,.23606557,4704.0439,19.690123,11.283,3.4426231,640.29999,638.20001
104,65557,Mendocino,Arena Union Elementary,KK-08,337,16.549999,21.262501,60.1329,26,639.30005,.077151336,6089.9106,20.362539,10.035,15.430267,642.70001,635.90002
105,67587,San Bernardino,Adelanto Elementary,KK-08,4501,227.85001,19.1297,63.905499,597,639.34998,.13263719,5356.8335,19.754223,8.3839998,17.973783,639.90002,638.79999
106,67470,San Benito,Hollister School District,KK-08,5718,295.04999,6.8407001,37.045601,313,639.5,.054739419,5144.5493,19.379766,13.63,22.717733,641.40002,637.59998
107,64857,Los Angeles,Palmdale Elementary,KK-08,19402,846.38,20.523701,51.2421,1182,639.75,.060921554,4906.23,22.92351,14.127667,18.436245,641.70001,637.79999
108,61507,Butte,Oroville City Elementary,KK-08,3401,175.55,52.219898,74.272301,560,639.79999,.16465746,5489.5889,19.373398,11.266125,16.171715,641.5,638.09998
109,63792,Kern,Standard Elementary,KK-08,2621,136.83,25.8298,64.097702,397,639.84998,.1514689,5718.5513,19.155155,13.39,2.0221288,641.40002,638.29999
110,72447,Ventura,Briggs Elementary,KK-08,426,20,3.9906001,64.788696,87,639.90002,.20422535,4436.1528,21.299999,11.938,9.6244135,634.29999,645.5
111,62323,Fresno,Monroe Elementary,KK-08,205,11.2,18.5366,80.975601,24,640.09998,.11707317,4895.4395,18.303572,8.2580004,41.463413,643.5,636.70001
112,64667,Los Angeles,Lancaster Elementary,KK-08,13668,648.40997,28.175301,56.2994,1321,640.15002,.09664911,5159.2188,21.079256,14.226727,9.8990345,640.40002,639.90002
113,65177,Madera,Alview-Dairyland Union Elementary,KK-08,342,18.200001,11.396,68.091202,98,640.5,.28654972,5490.6548,18.791208,10.472,16.081871,637.70001,643.29999
114,66589,Orange,Magnolia Elementary,KK-06,6518,332.10001,12.2791,71.023804,499,640.75,.076557226,5172.0195,19.626617,14.242901,43.494938,638.5,643
115,71985,Tulare,Liberty Elementary,KK-08,239,12.2,15.6118,69.6203,30,640.90002,.12552302,4441.6729,19.590164,14.066,8.7866106,644.90002,636.90002
116,69617,Santa Clara,Mt. Pleasant Elementary,KK-08,2911,139.47,11.9285,52.973499,281,641.09998,.0965304,5220.3701,20.871872,15.968,39.024387,640.40002,641.79999
117,63123,Imperial,El Centro Elementary,KK-08,6272,297.04001,28.719999,71.762398,1338,641.44995,.21332908,5252.8105,21.115002,10.264,53.890305,639.29999,643.59998
118,68395,San Diego,South Bay Union Elementary,KK-06,10218,508.75,17.4202,70.806396,1435,641.44995,.14043844,5518.7021,20.08452,10.60247,41.133293,638.59998,644.29999
119,69914,Shasta,Cascade Union Elementary,KK-08,1735,87.139999,47.262199,75.504303,222,641.54999,.12795389,5609.4878,19.910488,10.523,1.3832853,640.79999,642.29999
120,71969,Tulare,Kings River Union Elementary,KK-08,474,26.610001,20.6751,82.067497,96,641.80005,.20253165,4945.0317,17.812851,11.238,35.443039,638.90002,644.70001
121,71548,Tehama,Gerber Union Elementary,KK-08,544,30,20.550501,74.862396,145,642.19995,.2665441,5223.0254,18.133333,10.056,8.6397057,641.79999,642.59998
122,71910,Tulare,Exeter Union Elementary,KK-08,1987,103.37,15.2812,54.654099,283,642.20001,.14242576,4757.0254,19.222212,11.183,15.349774,637,647.40002
123,62000,Fresno,American Union Elementary,KK-08,418,22.4,10.6965,63.4328,50,642.40002,.11961722,5522.1616,18.660715,7.3850002,19.856459,640.20001,644.59998
124,66167,Monterey,San Antonio Union Elementary,KK-08,196,10,19.6891,47.150299,40,642.75,.20408164,6087.6089,19.6,13.579,3.0612245,652.59998,632.90002
125,71837,Tulare,Burton Elementary,KK-08,2208,114.5,14.414,53.210602,92,643.04999,.041666668,4960.5156,19.283842,9.6300001,9.873188,642,644.09998
126,67157,Riverside,Nuview Union Elementary,KK-08,1255,55,11.3222,44.259701,165,643.19995,.13147411,4880.0405,22.818182,15.274,16.095617,642.59998,643.79999
127,70615,Sonoma,Bellevue Union Elementary,KK-06,1469,78.099998,20.9666,80.258698,65,643.25,.044247787,6538.418,18.809219,14.03425,43.498978,639.40002,647.09998
128,64550,Los Angeles,Garvey Elementary,KK-08,7114,332.84,34.5942,82.572197,680,643.40002,.095586166,4925.6597,21.373632,10.239667,45.037952,638.90002,647.90002
129,71498,Tehama,Corning Union Elementary,KK-08,1962,98,24.4151,67.751801,170,643.40002,.086646281,5204.6875,20.020409,9.4849997,18.195719,641.70001,645.09998
130,68916,San Mateo,Jefferson Elementary,KK-08,7761,361,6.4912,44.476601,658,643.5,.084782891,4907.4106,21.498615,15.029875,15.487695,644.20001,642.79999
131,70185,Siskiyou,Big Springs Union Elementary,KK-08,216,14,9.4169998,48.878899,47,643.5,.2175926,5923.4517,15.428572,9.7810001,.92592591,652.70001,634.29999
132,63487,Kern,General Shafter Elementary,KK-08,224,10,7.1429,58.035702,31,643.69995,.13839285,4741.957,22.4,13.192,7.5892859,633.59998,653.79999
133,71308,Stanislaus,Turlock Joint Elementary,KK-08,7887,391.85999,16.402399,57.072201,1004,643.70001,.12729809,4954.0195,20.127087,12.216,29.085838,645.70001,641.70001
134,72421,Tuolumne,Twain Harte-Long Barn Union Elementary,KK-08,752,39.5,11.7105,34.078899,0,644.19995,0,5500.1079,19.037975,14.076,.13297872,652.29999,636.09998
135,69005,San Mateo,Redwood City Elementary,KK-08,9328,537.88,7.4875002,39.0368,1719,644.20001,.18428388,5360.5171,17.342157,25.487333,50.857632,644.5,643.90002
136,61846,El Dorado,Camino Union Elementary,KK-08,548,32.200001,7.6641998,31.3869,35,644.40002,.063868612,5685.6392,17.018633,14.867,11.49635,652.09998,636.70001
137,65813,Merced,Plainsburg Union Elementary,KK-08,104,5,32.381001,49.5238,19,644.45001,.1826923,5594.1963,20.799999,9.9720001,13.461539,649.5,639.40002
138,68486,San Joaquin,Banta Elementary,KK-08,275,13,12.7273,45.818199,4,644.45001,.014545455,4692.5669,21.153847,14.578,4.7272725,643.20001,645.70001
139,62513,Fresno,Washington Colony Elementary,KK-08,443,24,14.2212,69.977402,52,644.5,.11738149,5085.4063,18.458334,7.3850002,21.444695,644.29999,644.70001
140,67405,Sacramento,Rio Linda Union Elementary,KK-06,10337,540.04999,37.226898,58.545399,1268,644.54999,.12266615,5456.1973,19.140821,12.343,12.353681,646,643.09998
141,71050,Stanislaus,Chatom Union Elementary,KK-08,806,41.529999,7.1788001,56.675098,36,644.69995,.044665013,5105.1797,19.407658,12.431333,30.148884,645.29999,644.09998
142,73726,Merced,Merced River Union Elementary,KK-08,227,11.6,18.061701,59.0308,25,644.95001,.11013216,5519.6772,19.568964,14.906,15.85903,649.70001,640.20001
143,72462,Ventura,Hueneme Elementary,KK-08,8416,391.42001,12.399,71.912102,1333,645.09998,.15838878,5065.9111,21.5012,12.6699,43.75,642.90002,647.29999
144,62737,Humboldt,Cuddeback Union Elementary,KK-08,149,8.5,19.4631,59.060398,30,645.25,.20134228,5182.4282,17.529411,10.333,0,656.79999,633.70001
145,62703,Humboldt,Blue Lake Union Elementary,KK-08,220,13.39,19.1304,52.173901,48,645.54999,.21818182,5960.4644,16.430172,11.972,0,658,633.09998
146,68205,San Diego,Lemon Grove Elementary,KK-08,4612,232.97,17.476101,65.915001,601,645.55005,.13031223,5124.8364,19.796539,12.827,16.652212,647.70001,643.40002
147,64063,Lake,Upper Lake Union Elementary,KK-08,590,34.330002,37.436798,70.6577,71,645.59998,.12033898,5655.1333,17.186134,10.04,3.2203391,644.79999,646.40002
148,62984,Humboldt,Peninsula Union Elementary,KK-08,133,7.5500002,25,72.142899,25,645.75,.18796992,5811.6899,17.615894,13.335,0,644.29999,647.20001
149,72512,Ventura,Ocean View Elementary,KK-08,2440,121.24,7.2758999,47.0299,116,645.75,.047540985,5467.6738,20.125372,9.8540001,48.52459,645.5,646
150,71647,Tehama,Reeds Creek Elementary,KK-08,133,6,11.194,35.8209,0,646,0,5213.0894,22.166666,11.426,.75187969,652.5,639.5
151,67280,Sacramento,Arcohe Union Elementary,KK-08,519,26,16.763,37.9576,65,646.20001,.12524085,4613.1875,19.961538,15.131,1.9267824,650.90002,641.5
152,68627,San Joaquin,New Jerusalem Elementary,KK-08,222,11.66,7.5893002,40.625,30,646.34998,.13513513,4886.9839,19.039452,14.578,13.513513,643,649.70001
153,70243,Siskiyou,Dunsmuir Elementary,KK-08,285,18.719999,26.6423,76.277397,36,646.40002,.12631579,6455.1367,15.22436,10.268,0,641.59998,651.20001
154,71282,Stanislaus,Stanislaus Union Elementary,KK-08,3129,147.98,26.167601,55.7901,471,646.5,.15052733,5125.4331,21.144751,15.592857,16.714605,647.79999,645.20001
155,62240,Fresno,Kingsburg Joint Union Elementary,KK-08,2019,102.78,10.2526,40.564602,167,646.54999,.082714215,5193.6924,19.6439,11.238,5.9435363,649.09998,644
156,66456,Orange,Buena Park Elementary,KK-08,5620,267,10.3095,55.093899,316,646.70001,.056227759,5002.8389,21.048689,15.051375,36.174377,644,649.40002
157,66746,Orange,Westminster Elementary,KK-08,9775,484.5,13.043,62.503899,1218,646.90002,.12460358,5337.6255,20.175438,15.413177,44.971867,645.59998,648.20001
158,63933,Kings,Island Union Elementary,KK-08,246,11.5,9.7560997,43.902401,38,646.94995,.15447155,5161.2021,21.391304,11.081,16.666668,647.79999,646.09998
159,72231,Tulare,Tulare City Elementary,KK-08,7210,360.35001,26.626801,68.857903,800,647.04999,.110957,5158.792,20.008326,10.098,15.18724,642.5,651.59998
160,68023,San Diego,Chula Vista Elementary,KK-06,21338,1051.58,13.2272,45.994999,2889,647.25,.13539226,5123.4741,20.291372,14.2983,34.337799,645,649.5
161,69880,Shasta,Black Butte Union Elementary,KK-08,477,27,25.366899,59.538799,27,647.29999,.056603774,5782.5439,17.666666,11.803,0,650.79999,643.79999
162,65763,Merced,McSwain Union Elementary,KK-08,727,39.900002,10.1788,32.187099,50,647.59998,.068775788,4842.6079,18.220551,9.9720001,13.0674,649.40002,645.79999
163,71381,Sutter,Franklin Elementary,KK-08,374,18.450001,6.6845002,7.4865999,46,647.59998,.12299465,4219.4063,20.271002,15.409,4.2780747,651.59998,643.59998
164,68098,San Diego,Escondido Union Elementary,KK-08,18255,903.76001,11.2217,58.5331,2001,648,.10961381,5081.1699,20.198946,15.293799,39.594631,645,651
165,64485,Los Angeles,East Whittier City Elementary,KK-08,8787,410.91,10.0227,32.483002,1058,648.20001,.12040514,5144.9937,21.384245,15.532928,21.668373,648,648.40002
